DN,objectClass,cn,sn,l,givenName,distinguishedName,displayName,department,company,name,sAMAccountName,userPrincipalName,objectCategory,UserPassword
"CN=Ashvini Sharma,OU=Development,DC=Contoso,DC=com",user,Ashvini Sharma,Sharma,Seattle,Ashvini,"CN=Ashvini Sharma,OU=Development,DC=Contoso,DC=com",Ashvini Sharma,Development,Contoso,Ashvini Sharma,Ashvini,Ashvini@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Bishara Kharoufeh,OU=Development,DC=Contoso,DC=com",user,Bishara Kharoufeh,Kharoufeh,Seattle,Bishara,"CN=Bishara Kharoufeh,OU=Development,DC=Contoso,DC=com",Bishara Kharoufeh,Development,Contoso,Bishara Kharoufeh,Bishara,Bishara@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Brian Burke,OU=Development,DC=Contoso,DC=com",user,Brian Burke,Burke,London,Brian,"CN=Brian Burke,OU=Development,DC=Contoso,DC=com",Brian Burke,Development,Contoso,Brian Burke,Brian,Brian@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Claus Juhl,OU=Development,DC=Contoso,DC=com",user,Claus Juhl,Juhl,London,Claus,"CN=Claus Juhl,OU=Development,DC=Contoso,DC=com",Claus Juhl,Development,Contoso,Claus Juhl,Claus,Claus@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Cristian Petculescu,OU=Development,DC=Contoso,DC=com",user,Cristian Petculescu,Petculescu,London,Cristian,"CN=Cristian Petculescu,OU=Development,DC=Contoso,DC=com",Cristian Petculescu,Development,Contoso,Cristian Petculescu,Cristian,Cristian@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Darcy Jayne,OU=Development,DC=Contoso,DC=com",user,Darcy Jayne,Jayne,London,Darcy,"CN=Darcy Jayne,OU=Development,DC=Contoso,DC=com",Darcy Jayne,Development,Contoso,Darcy Jayne,Darcy,Darcy@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=David Ahs,OU=Development,DC=Contoso,DC=com",user,David Ahs,Ahs,London,David,"CN=David Ahs,OU=Development,DC=Contoso,DC=com",David Ahs,Development,Contoso,David Ahs,David,David@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Dean McCrae,OU=Development,DC=Contoso,DC=com",user,Dean McCrae,McCrae,London,Dean,"CN=Dean McCrae,OU=Development,DC=Contoso,DC=com",Dean McCrae,Development,Contoso,Dean McCrae,Dean,Dean@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Dimple Arya,OU=Development,DC=Contoso,DC=com",user,Dimple Arya,Arya,London,Dimple,"CN=Dimple Arya,OU=Development,DC=Contoso,DC=com",Dimple Arya,Development,Contoso,Dimple Arya,Dimple,Dimple@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Eduardo Melo,OU=Development,DC=Contoso,DC=com",user,Eduardo Melo,Melo,London,Eduardo,"CN=Eduardo Melo,OU=Development,DC=Contoso,DC=com",Eduardo Melo,Development,Contoso,Eduardo Melo,Eduardo,Eduardo@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Enrique Gil,OU=Development,DC=Contoso,DC=com",user,Enrique Gil,Gil,London,Enrique,"CN=Enrique Gil,OU=Development,DC=Contoso,DC=com",Enrique Gil,Development,Contoso,Enrique Gil,Enrique,Enrique@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Fabien Hernoux,OU=Development,DC=Contoso,DC=com",user,Fabien Hernoux,Hernoux,London,Fabien,"CN=Fabien Hernoux,OU=Development,DC=Contoso,DC=com",Fabien Hernoux,Development,Contoso,Fabien Hernoux,Fabien,Fabien@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Giuseppe Russo,OU=Development,DC=Contoso,DC=com",user,Giuseppe Russo,Russo,London,Giuseppe,"CN=Giuseppe Russo,OU=Development,DC=Contoso,DC=com",Giuseppe Russo,Development,Contoso,Giuseppe Russo,Giuseppe,Giuseppe@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Gregory Verny,OU=Development,DC=Contoso,DC=com",user,Gregory Verny,Verny,London,Gregory,"CN=Gregory Verny,OU=Development,DC=Contoso,DC=com",Gregory Verny,Development,Contoso,Gregory Verny,Gregory,Gregory@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Guy Gilbert,OU=Development,DC=Contoso,DC=com",user,Guy Gilbert,Gilbert,London,Guy,"CN=Guy Gilbert,OU=Development,DC=Contoso,DC=com",Guy Gilbert,Development,Contoso,Guy Gilbert,Guy,Guy@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Heidi Steen,OU=Development,DC=Contoso,DC=com",user,Heidi Steen,Steen,London,Heidi,"CN=Heidi Steen,OU=Development,DC=Contoso,DC=com",Heidi Steen,Development,Contoso,Heidi Steen,Heidi,Heidi@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Iliana Simbaeva,OU=Development,DC=Contoso,DC=com",user,Iliana Simbaeva,Simbaeva,London,Iliana,"CN=Iliana Simbaeva,OU=Development,DC=Contoso,DC=com",Iliana Simbaeva,Development,Contoso,Iliana Simbaeva,Iliana,Iliana@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jan Kotas,OU=Development,DC=Contoso,DC=com",user,Jan Kotas,Kotas,London,Jan,"CN=Jan Kotas,OU=Development,DC=Contoso,DC=com",Jan Kotas,Development,Contoso,Jan Kotas,Jan,Jan@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jennifer Kim,OU=Development,DC=Contoso,DC=com",user,Jennifer Kim,Kim,London,Jennifer,"CN=Jennifer Kim,OU=Development,DC=Contoso,DC=com",Jennifer Kim,Development,Contoso,Jennifer Kim,Jennifer,Jennifer@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jill Shrader,OU=Development,DC=Contoso,DC=com",user,Jill Shrader,Shrader,London,Jill,"CN=Jill Shrader,OU=Development,DC=Contoso,DC=com",Jill Shrader,Development,Contoso,Jill Shrader,Jill,Jill@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jonathan Foster,OU=Development,DC=Contoso,DC=com",user,Jonathan Foster,Foster,London,Jonathan,"CN=Jonathan Foster,OU=Development,DC=Contoso,DC=com",Jonathan Foster,Development,Contoso,Jonathan Foster,Jonathan,Jonathan@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Joris Kalz,OU=Development,DC=Contoso,DC=com",user,Joris Kalz,Kalz,London,Joris,"CN=Joris Kalz,OU=Development,DC=Contoso,DC=com",Joris Kalz,Development,Contoso,Joris Kalz,Joris,Joris@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jun Cao,OU=Development,DC=Contoso,DC=com",user,Jun Cao,Cao,London,Jun,"CN=Jun Cao,OU=Development,DC=Contoso,DC=com",Jun Cao,Development,Contoso,Jun Cao,Jun,Jun@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Justin Thorp,OU=Development,DC=Contoso,DC=com",user,Justin Thorp,Thorp,London,Justin,"CN=Justin Thorp,OU=Development,DC=Contoso,DC=com",Justin Thorp,Development,Contoso,Justin Thorp,Justin,Justin@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Kamil Amireh,OU=Development,DC=Contoso,DC=com",user,Kamil Amireh,Amireh,London,Kamil,"CN=Kamil Amireh,OU=Development,DC=Contoso,DC=com",Kamil Amireh,Development,Contoso,Kamil Amireh,Kamil,Kamil@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ken Circeo,OU=Development,DC=Contoso,DC=com",user,Ken Circeo,Circeo,London,Ken,"CN=Ken Circeo,OU=Development,DC=Contoso,DC=com",Ken Circeo,Development,Contoso,Ken Circeo,Ken,Ken@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Kerstin Zakardissnehf,OU=Development,DC=Contoso,DC=com",user,Kerstin Zakardissnehf,Zakardissnehf,London,Kerstin,"CN=Kerstin Zakardissnehf,OU=Development,DC=Contoso,DC=com",Kerstin Zakardissnehf,Development,Contoso,Kerstin Zakardissnehf,Kerstin,Kerstin@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Kostadin Belishky,OU=Development,DC=Contoso,DC=com",user,Kostadin Belishky,Belishky,London,Kostadin,"CN=Kostadin Belishky,OU=Development,DC=Contoso,DC=com",Kostadin Belishky,Development,Contoso,Kostadin Belishky,Kostadin,Kostadin@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Lola Jacobsen,OU=Development,DC=Contoso,DC=com",user,Lola Jacobsen,Jacobsen,London,Lola,"CN=Lola Jacobsen,OU=Development,DC=Contoso,DC=com",Lola Jacobsen,Development,Contoso,Lola Jacobsen,Lola,Lola@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Lubor Krebs,OU=Development,DC=Contoso,DC=com",user,Lubor Krebs,Krebs,London,Lubor,"CN=Lubor Krebs,OU=Development,DC=Contoso,DC=com",Lubor Krebs,Development,Contoso,Lubor Krebs,Lubor,Lubor@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Mads Ebdrup,OU=Development,DC=Contoso,DC=com",user,Mads Ebdrup,Ebdrup,London,Mads,"CN=Mads Ebdrup,OU=Development,DC=Contoso,DC=com",Mads Ebdrup,Development,Contoso,Mads Ebdrup,Mads,Mads@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Marcin Kretowicz,OU=Development,DC=Contoso,DC=com",user,Marcin Kretowicz,Kretowicz,London,Marcin,"CN=Marcin Kretowicz,OU=Development,DC=Contoso,DC=com",Marcin Kretowicz,Development,Contoso,Marcin Kretowicz,Marcin,Marcin@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Marek Rolecki,OU=Development,DC=Contoso,DC=com",user,Marek Rolecki,Rolecki,London,Marek,"CN=Marek Rolecki,OU=Development,DC=Contoso,DC=com",Marek Rolecki,Development,Contoso,Marek Rolecki,Marek,Marek@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Marketa Kuklova,OU=Development,DC=Contoso,DC=com",user,Marketa Kuklova,Kuklova,London,Marketa,"CN=Marketa Kuklova,OU=Development,DC=Contoso,DC=com",Marketa Kuklova,Development,Contoso,Marketa Kuklova,Marketa,Marketa@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Maureen Magnotta,OU=Development,DC=Contoso,DC=com",user,Maureen Magnotta,Magnotta,London,Maureen,"CN=Maureen Magnotta,OU=Development,DC=Contoso,DC=com",Maureen Magnotta,Development,Contoso,Maureen Magnotta,Maureen,Maureen@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Michal Piaseczny,OU=Development,DC=Contoso,DC=com",user,Michal Piaseczny,Piaseczny,London,Michal,"CN=Michal Piaseczny,OU=Development,DC=Contoso,DC=com",Michal Piaseczny,Development,Contoso,Michal Piaseczny,Michal,Michal@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Modesto Estrada,OU=Development,DC=Contoso,DC=com",user,Modesto Estrada,Estrada,London,Modesto,"CN=Modesto Estrada,OU=Development,DC=Contoso,DC=com",Modesto Estrada,Development,Contoso,Modesto Estrada,Modesto,Modesto@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Neil Black,OU=Development,DC=Contoso,DC=com",user,Neil Black,Black,London,Neil,"CN=Neil Black,OU=Development,DC=Contoso,DC=com",Neil Black,Development,Contoso,Neil Black,Neil,Neil@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Nikolay Grachev,OU=Development,DC=Contoso,DC=com",user,Nikolay Grachev,Grachev,London,Nikolay,"CN=Nikolay Grachev,OU=Development,DC=Contoso,DC=com",Nikolay Grachev,Development,Contoso,Nikolay Grachev,Nikolay,Nikolay@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ofer Daliot,OU=Development,DC=Contoso,DC=com",user,Ofer Daliot,Daliot,London,Ofer,"CN=Ofer Daliot,OU=Development,DC=Contoso,DC=com",Ofer Daliot,Development,Contoso,Ofer Daliot,Ofer,Ofer@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Pedro Gutierrez,OU=Development,DC=Contoso,DC=com",user,Pedro Gutierrez,Gutierrez,London,Pedro,"CN=Pedro Gutierrez,OU=Development,DC=Contoso,DC=com",Pedro Gutierrez,Development,Contoso,Pedro Gutierrez,Pedro,Pedro@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
