DN,objectClass,cn,sn,l,givenName,distinguishedName,displayName,department,company,name,sAMAccountName,userPrincipalName,objectCategory,UserPassword
"CN=Bruno Torres,OU=IT,DC=Contoso,DC=com",user,Bruno Torres,Torres,London,Bruno,"CN=Bruno Torres,OU=IT,DC=Contoso,DC=com",Bruno Torres,IT,Contoso,Bruno Torres,Bruno,Bruno@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Dorena Paschke,OU=IT,DC=Contoso,DC=com",user,Dorena Paschke,Paschke,London,Dorena,"CN=Dorena Paschke,OU=IT,DC=Contoso,DC=com",Dorena Paschke,IT,Contoso,Dorena Paschke,Dorena,Dorena@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Hany Morcos,OU=IT,DC=Contoso,DC=com",user,Hany Morcos,Morcos,London,Hany,"CN=Hany Morcos,OU=IT,DC=Contoso,DC=com",Hany Morcos,IT,Contoso,Hany Morcos,Hany,Hany@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Hideatsu Hosokai,OU=IT,DC=Contoso,DC=com",user,Hideatsu Hosokai,Hosokai,London,Hideatsu,"CN=Hideatsu Hosokai,OU=IT,DC=Contoso,DC=com",Hideatsu Hosokai,IT,Contoso,Hideatsu Hosokai,Hideatsu,Hideatsu@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Inbar Gazit,OU=IT,DC=Contoso,DC=com",user,Inbar Gazit,Gazit,London,Inbar,"CN=Inbar Gazit,OU=IT,DC=Contoso,DC=com",Inbar Gazit,IT,Contoso,Inbar Gazit,Inbar,Inbar@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jane Dow,OU=IT,DC=Contoso,DC=com",user,Jane Dow,Dow,London,Jane,"CN=Jane Dow,OU=IT,DC=Contoso,DC=com",Jane Dow,IT,Contoso,Jane Dow,Jane,Jane@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jon Cantrell,OU=IT,DC=Contoso,DC=com",user,Jon Cantrell,Cantrell,London,Jon,"CN=Jon Cantrell,OU=IT,DC=Contoso,DC=com",Jon Cantrell,IT,Contoso,Jon Cantrell,Jon,Jon@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Junmin Hao,OU=IT,DC=Contoso,DC=com",user,Junmin Hao,Hao,London,Junmin,"CN=Junmin Hao,OU=IT,DC=Contoso,DC=com",Junmin Hao,IT,Contoso,Junmin Hao,Junmin,Junmin@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Mike Ray,OU=IT,DC=Contoso,DC=com",user,Mike Ray,Ray,London,Mike,"CN=Mike Ray,OU=IT,DC=Contoso,DC=com",Mike Ray,IT,Contoso,Mike Ray,Mike,Mike@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Naoki Sato,OU=IT,DC=Contoso,DC=com",user,Naoki Sato,Sato,London,Naoki,"CN=Naoki Sato,OU=IT,DC=Contoso,DC=com",Naoki Sato,IT,Contoso,Naoki Sato,Naoki,Naoki@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
