DN,objectClass,cn,sn,l,givenName,distinguishedName,instanceType,whenCreated,whenChanged,displayName,uSNCreated,memberOf,uSNChanged,department,company,name,objectGUID,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,objectSid,accountExpires,logonCount,sAMAccountName,sAMAccountType,userPrincipalName,objectCategory,dSCorePropagationData
"CN=Bjarne Riis,OU=Managers,DC=Contoso,DC=com",user,Bjarne Riis,Riis,London,Bjarne,"CN=Bjarne Riis,OU=Managers,DC=Contoso,DC=com",4,20200424224218.0Z,20200424224218.0Z,Bjarne Riis,16893,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16897,Managers,Contoso,Bjarne Riis,X'9b29e3e966f21041a0139c2b30725678',66048,0,0,0,0,0,0,132322417387225286,513,X'010500000000000515000000fb8b0447cdcc26afe6258771a0040000',9223372036854775807,0,Bjarne,805306368,Bjarne@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Christof Sprenger,OU=Managers,DC=Contoso,DC=com",user,Christof Sprenger,Sprenger,London,Christof,"CN=Christof Sprenger,OU=Managers,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Christof Sprenger,16947,"CN=Managers,OU=Managers,DC=Contoso,DC=com",16951,Managers,Contoso,Christof Sprenger,X'3784d5be2c30d543847224f79e868428',66048,0,0,0,0,0,0,132322417390350277,513,X'010500000000000515000000fb8b0447cdcc26afe6258771a9040000',9223372036854775807,0,Christof,805306368,Christof@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Ekaterina Podkolzina,OU=Managers,DC=Contoso,DC=com",user,Ekaterina Podkolzina,Podkolzina,London,Ekaterina,"CN=Ekaterina Podkolzina,OU=Managers,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Ekaterina Podkolzina,17085,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17089,Managers,Contoso,Ekaterina Podkolzina,X'cea8a51bf5ac254597d6615e442fe7ef',66048,0,0,0,0,0,0,132322417397381830,513,X'010500000000000515000000fb8b0447cdcc26afe6258771c0040000',9223372036854775807,0,Ekaterina,805306368,Ekaterina@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Frank Maenz,OU=Managers,DC=Contoso,DC=com",user,Frank Maenz,Maenz,London,Frank,"CN=Frank Maenz,OU=Managers,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Frank Maenz,17133,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17137,Managers,Contoso,Frank Maenz,X'37a450cb2a73884daea3d70d0a3588a2',66048,0,0,0,0,0,0,132322417399725243,513,X'010500000000000515000000fb8b0447cdcc26afe6258771c8040000',9223372036854775807,0,Frank,805306368,Frank@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Goran Mihelcic,OU=Managers,DC=Contoso,DC=com",user,Goran Mihelcic,Mihelcic,London,Goran,"CN=Goran Mihelcic,OU=Managers,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Goran Mihelcic,17181,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17185,Managers,Contoso,Goran Mihelcic,X'ea54069f3540d54f957d22a91882797a',66048,0,0,0,0,0,0,132322417402068978,513,X'010500000000000515000000fb8b0447cdcc26afe6258771d0040000',9223372036854775807,0,Goran,805306368,Goran@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Greg Chapman,OU=Managers,DC=Contoso,DC=com",user,Greg Chapman,Chapman,London,Greg,"CN=Greg Chapman,OU=Managers,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Greg Chapman,17187,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17191,Managers,Contoso,Greg Chapman,X'e01c088f16efc242ae922293fc1ce09e',66048,0,0,0,0,0,0,132322417402381479,513,X'010500000000000515000000fb8b0447cdcc26afe6258771d1040000',9223372036854775807,0,Greg,805306368,Greg@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Heiko Elmsheuser,OU=Managers,DC=Contoso,DC=com",user,Heiko Elmsheuser,Elmsheuser,London,Heiko,"CN=Heiko Elmsheuser,OU=Managers,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Heiko Elmsheuser,17247,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17251,Managers,Contoso,Heiko Elmsheuser,X'33d03ea951df05448815e85df10f16a9',66048,0,0,0,0,0,0,132322417405193955,513,X'010500000000000515000000fb8b0447cdcc26afe6258771db040000',9223372036854775807,0,Heiko,805306368,Heiko@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Iulian Calinov,OU=Managers,DC=Contoso,DC=com",user,Iulian Calinov,Calinov,London,Iulian,"CN=Iulian Calinov,OU=Managers,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Iulian Calinov,17295,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17299,Managers,Contoso,Iulian Calinov,X'e632faed80764047bc40d6087e8a218d',66048,0,0,0,0,0,0,132322417407537700,513,X'010500000000000515000000fb8b0447cdcc26afe6258771e3040000',9223372036854775807,0,Iulian,805306368,Iulian@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Jeff Low,OU=Managers,DC=Contoso,DC=com",user,Jeff Low,Low,London,Jeff,"CN=Jeff Low,OU=Managers,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Jeff Low,17337,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17341,Managers,Contoso,Jeff Low,X'9e1f4ccd252a8142a2800bb21ee921b9',66048,0,0,0,0,0,0,132322417409725204,513,X'010500000000000515000000fb8b0447cdcc26afe6258771ea040000',9223372036854775807,0,Jeff,805306368,Jeff@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Jerry Orman,OU=Managers,DC=Contoso,DC=com",user,Jerry Orman,Orman,London,Jerry,"CN=Jerry Orman,OU=Managers,DC=Contoso,DC=com",4,20200424224221.0Z,20200424224221.0Z,Jerry Orman,17349,"CN=Managers,OU=Managers,DC=Contoso,DC=com",17353,Managers,Contoso,Jerry Orman,X'c9bdc81768bd38419ab2417f677000a2',66048,0,0,0,0,0,0,132322417410193952,513,X'010500000000000515000000fb8b0447cdcc26afe6258771ec040000',9223372036854775807,0,Jerry,805306368,Jerry@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
