DN,objectClass,cn,sn,l,givenName,distinguishedName,displayName,department,company,name,sAMAccountName,userPrincipalName,objectCategory,UserPassword
"CN=Ari Suominen,OU=Marketing,DC=Contoso,DC=com",user,Ari Suominen,Suominen,Seattle,Ari,"CN=Ari Suominen,OU=Marketing,DC=Contoso,DC=com",Ari Suominen,Marketing,Contoso,Ari Suominen,Ari,Ari@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Belinda Newman,OU=Marketing,DC=Contoso,DC=com",user,Belinda Newman,Newman,Seattle,Belinda,"CN=Belinda Newman,OU=Marketing,DC=Contoso,DC=com",Belinda Newman,Marketing,Contoso,Belinda Newman,Belinda,Belinda@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Boris Scholl,OU=Marketing,DC=Contoso,DC=com",user,Boris Scholl,Scholl,London,Boris,"CN=Boris Scholl,OU=Marketing,DC=Contoso,DC=com",Boris Scholl,Marketing,Contoso,Boris Scholl,Boris,Boris@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Bruce Keever,OU=Marketing,DC=Contoso,DC=com",user,Bruce Keever,Keever,London,Bruce,"CN=Bruce Keever,OU=Marketing,DC=Contoso,DC=com",Bruce Keever,Marketing,Contoso,Bruce Keever,Bruce,Bruce@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Cari Dick,OU=Marketing,DC=Contoso,DC=com",user,Cari Dick,Dick,London,Cari,"CN=Cari Dick,OU=Marketing,DC=Contoso,DC=com",Cari Dick,Marketing,Contoso,Cari Dick,Cari,Cari@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Colleen Bracy,OU=Marketing,DC=Contoso,DC=com",user,Colleen Bracy,Bracy,London,Colleen,"CN=Colleen Bracy,OU=Marketing,DC=Contoso,DC=com",Colleen Bracy,Marketing,Contoso,Colleen Bracy,Colleen,Colleen@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Daniel Brunner,OU=Marketing,DC=Contoso,DC=com",user,Daniel Brunner,Brunner,London,Daniel,"CN=Daniel Brunner,OU=Marketing,DC=Contoso,DC=com",Daniel Brunner,Marketing,Contoso,Daniel Brunner,Daniel,Daniel@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Darren Gehring,OU=Marketing,DC=Contoso,DC=com",user,Darren Gehring,Gehring,London,Darren,"CN=Darren Gehring,OU=Marketing,DC=Contoso,DC=com",Darren Gehring,Marketing,Contoso,Darren Gehring,Darren,Darren@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Diane Prescott,OU=Marketing,DC=Contoso,DC=com",user,Diane Prescott,Prescott,London,Diane,"CN=Diane Prescott,OU=Marketing,DC=Contoso,DC=com",Diane Prescott,Marketing,Contoso,Diane Prescott,Diane,Diane@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Dubravka Salopek,OU=Marketing,DC=Contoso,DC=com",user,Dubravka Salopek,Salopek,London,Dubravka,"CN=Dubravka Salopek,OU=Marketing,DC=Contoso,DC=com",Dubravka Salopek,Marketing,Contoso,Dubravka Salopek,Dubravka,Dubravka@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Elisa Graceffo,OU=Marketing,DC=Contoso,DC=com",user,Elisa Graceffo,Graceffo,London,Elisa,"CN=Elisa Graceffo,OU=Marketing,DC=Contoso,DC=com",Elisa Graceffo,Marketing,Contoso,Elisa Graceffo,Elisa,Elisa@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Esther Valle,OU=Marketing,DC=Contoso,DC=com",user,Esther Valle,Valle,London,Esther,"CN=Esther Valle,OU=Marketing,DC=Contoso,DC=com",Esther Valle,Marketing,Contoso,Esther Valle,Esther,Esther@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Fernando Caro,OU=Marketing,DC=Contoso,DC=com",user,Fernando Caro,Caro,London,Fernando,"CN=Fernando Caro,OU=Marketing,DC=Contoso,DC=com",Fernando Caro,Marketing,Contoso,Fernando Caro,Fernando,Fernando@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Garth Fort,OU=Marketing,DC=Contoso,DC=com",user,Garth Fort,Fort,London,Garth,"CN=Garth Fort,OU=Marketing,DC=Contoso,DC=com",Garth Fort,Marketing,Contoso,Garth Fort,Garth,Garth@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Geert Camelbeke,OU=Marketing,DC=Contoso,DC=com",user,Geert Camelbeke,Camelbeke,London,Geert,"CN=Geert Camelbeke,OU=Marketing,DC=Contoso,DC=com",Geert Camelbeke,Marketing,Contoso,Geert Camelbeke,Geert,Geert@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Gustavo Achong,OU=Marketing,DC=Contoso,DC=com",user,Gustavo Achong,Achong,London,Gustavo,"CN=Gustavo Achong,OU=Marketing,DC=Contoso,DC=com",Gustavo Achong,Marketing,Contoso,Gustavo Achong,Gustavo,Gustavo@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Hao Chen,OU=Marketing,DC=Contoso,DC=com",user,Hao Chen,Chen,London,Hao,"CN=Hao Chen,OU=Marketing,DC=Contoso,DC=com",Hao Chen,Marketing,Contoso,Hao Chen,Hao,Hao@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ian Palangio,OU=Marketing,DC=Contoso,DC=com",user,Ian Palangio,Palangio,London,Ian,"CN=Ian Palangio,OU=Marketing,DC=Contoso,DC=com",Ian Palangio,Marketing,Contoso,Ian Palangio,Ian,Ian@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ioan Crisiarcu,OU=Marketing,DC=Contoso,DC=com",user,Ioan Crisiarcu,Crisiarcu,London,Ioan,"CN=Ioan Crisiarcu,OU=Marketing,DC=Contoso,DC=com",Ioan Crisiarcu,Marketing,Contoso,Ioan Crisiarcu,Ioan,Ioan@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jacom Galore,OU=Marketing,DC=Contoso,DC=com",user,Jacom Galore,Galore,London,Jacom,"CN=Jacom Galore,OU=Marketing,DC=Contoso,DC=com",Jacom Galore,Marketing,Contoso,Jacom Galore,Jacom,Jacom@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jordao Moreno,OU=Marketing,DC=Contoso,DC=com",user,Jordao Moreno,Moreno,London,Jordao,"CN=Jordao Moreno,OU=Marketing,DC=Contoso,DC=com",Jordao Moreno,Marketing,Contoso,Jordao Moreno,Jordao,Jordao@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Josh Meisels,OU=Marketing,DC=Contoso,DC=com",user,Josh Meisels,Meisels,London,Josh,"CN=Josh Meisels,OU=Marketing,DC=Contoso,DC=com",Josh Meisels,Marketing,Contoso,Josh Meisels,Josh,Josh@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Larry Zhang,OU=Marketing,DC=Contoso,DC=com",user,Larry Zhang,Zhang,London,Larry,"CN=Larry Zhang,OU=Marketing,DC=Contoso,DC=com",Larry Zhang,Marketing,Contoso,Larry Zhang,Larry,Larry@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Luca Dellamore,OU=Marketing,DC=Contoso,DC=com",user,Luca Dellamore,Dellamore,London,Luca,"CN=Luca Dellamore,OU=Marketing,DC=Contoso,DC=com",Luca Dellamore,Marketing,Contoso,Luca Dellamore,Luca,Luca@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
