DN,objectClass,cn,sn,l,givenName,distinguishedName,displayName,department,company,name,sAMAccountName,userPrincipalName,objectCategory,UserPassword
"CN=Ben Miller,OU=Sales,DC=Contoso,DC=com",user,Ben Miller,Miller,Seattle,Ben,"CN=Ben Miller,OU=Sales,DC=Contoso,DC=com",Ben Miller,Sales,Contoso,Ben Miller,Ben,Ben@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Britta Simon,OU=Sales,DC=Contoso,DC=com",user,Britta Simon,Simon,London,Britta,"CN=Britta Simon,OU=Sales,DC=Contoso,DC=com",Britta Simon,Sales,Contoso,Britta Simon,Britta,Britta@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Cassie Hicks,OU=Sales,DC=Contoso,DC=com",user,Cassie Hicks,Hicks,London,Cassie,"CN=Cassie Hicks,OU=Sales,DC=Contoso,DC=com",Cassie Hicks,Sales,Contoso,Cassie Hicks,Cassie,Cassie@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Cindy White,OU=Sales,DC=Contoso,DC=com",user,Cindy White,White,London,Cindy,"CN=Cindy White,OU=Sales,DC=Contoso,DC=com",Cindy White,Sales,Contoso,Cindy White,Cindy,Cindy@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Corinna Bolender,OU=Sales,DC=Contoso,DC=com",user,Corinna Bolender,Bolender,London,Corinna,"CN=Corinna Bolender,OU=Sales,DC=Contoso,DC=com",Corinna Bolender,Sales,Contoso,Corinna Bolender,Corinna,Corinna@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Dag Rovik,OU=Sales,DC=Contoso,DC=com",user,Dag Rovik,Rovik,London,Dag,"CN=Dag Rovik,OU=Sales,DC=Contoso,DC=com",Dag Rovik,Sales,Contoso,Dag Rovik,Dag,Dag@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Darya Popkova,OU=Sales,DC=Contoso,DC=com",user,Darya Popkova,Popkova,London,Darya,"CN=Darya Popkova,OU=Sales,DC=Contoso,DC=com",Darya Popkova,Sales,Contoso,Darya Popkova,Darya,Darya@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Deborah Baumfeld,OU=Sales,DC=Contoso,DC=com",user,Deborah Baumfeld,Baumfeld,London,Deborah,"CN=Deborah Baumfeld,OU=Sales,DC=Contoso,DC=com",Deborah Baumfeld,Sales,Contoso,Deborah Baumfeld,Deborah,Deborah@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Ed Banti,OU=Sales,DC=Contoso,DC=com",user,Ed Banti,Banti,London,Ed,"CN=Ed Banti,OU=Sales,DC=Contoso,DC=com",Ed Banti,Sales,Contoso,Ed Banti,Ed,Ed@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Eran Harel,OU=Sales,DC=Contoso,DC=com",user,Eran Harel,Harel,London,Eran,"CN=Eran Harel,OU=Sales,DC=Contoso,DC=com",Eran Harel,Sales,Contoso,Eran Harel,Eran,Eran@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Gabe Frost,OU=Sales,DC=Contoso,DC=com",user,Gabe Frost,Frost,London,Gabe,"CN=Gabe Frost,OU=Sales,DC=Contoso,DC=com",Gabe Frost,Sales,Contoso,Gabe Frost,Gabe,Gabe@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Gareth Chan,OU=Sales,DC=Contoso,DC=com",user,Gareth Chan,Chan,London,Gareth,"CN=Gareth Chan,OU=Sales,DC=Contoso,DC=com",Gareth Chan,Sales,Contoso,Gareth Chan,Gareth,Gareth@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Gerwald Oberleitner,OU=Sales,DC=Contoso,DC=com",user,Gerwald Oberleitner,Oberleitner,London,Gerwald,"CN=Gerwald Oberleitner,OU=Sales,DC=Contoso,DC=com",Gerwald Oberleitner,Sales,Contoso,Gerwald Oberleitner,Gerwald,Gerwald@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Guido Pica,OU=Sales,DC=Contoso,DC=com",user,Guido Pica,Pica,London,Guido,"CN=Guido Pica,OU=Sales,DC=Contoso,DC=com",Guido Pica,Sales,Contoso,Guido Pica,Guido,Guido@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Hanying Feng,OU=Sales,DC=Contoso,DC=com",user,Hanying Feng,Feng,London,Hanying,"CN=Hanying Feng,OU=Sales,DC=Contoso,DC=com",Hanying Feng,Sales,Contoso,Hanying Feng,Hanying,Hanying@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Humberto Acevedo,OU=Sales,DC=Contoso,DC=com",user,Humberto Acevedo,Acevedo,London,Humberto,"CN=Humberto Acevedo,OU=Sales,DC=Contoso,DC=com",Humberto Acevedo,Sales,Contoso,Humberto Acevedo,Humberto,Humberto@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jack Creasey,OU=Sales,DC=Contoso,DC=com",user,Jack Creasey,Creasey,London,Jack,"CN=Jack Creasey,OU=Sales,DC=Contoso,DC=com",Jack Creasey,Sales,Contoso,Jack Creasey,Jack,Jack@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jacky Chen,OU=Sales,DC=Contoso,DC=com",user,Jacky Chen,Chen,London,Jacky,"CN=Jacky Chen,OU=Sales,DC=Contoso,DC=com",Jacky Chen,Sales,Contoso,Jacky Chen,Jacky,Jacky@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jason McCue,OU=Sales,DC=Contoso,DC=com",user,Jason McCue,McCue,London,Jason,"CN=Jason McCue,OU=Sales,DC=Contoso,DC=com",Jason McCue,Sales,Contoso,Jason McCue,Jason,Jason@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jim Wickham,OU=Sales,DC=Contoso,DC=com",user,Jim Wickham,Wickham,London,Jim,"CN=Jim Wickham,OU=Sales,DC=Contoso,DC=com",Jim Wickham,Sales,Contoso,Jim Wickham,Jim,Jim@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Joao Casqueiro,OU=Sales,DC=Contoso,DC=com",user,Joao Casqueiro,Casqueiro,London,Joao,"CN=Joao Casqueiro,OU=Sales,DC=Contoso,DC=com",Joao Casqueiro,Sales,Contoso,Joao Casqueiro,Joao,Joao@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Jossef Goldberg,OU=Sales,DC=Contoso,DC=com",user,Jossef Goldberg,Goldberg,London,Jossef,"CN=Jossef Goldberg,OU=Sales,DC=Contoso,DC=com",Jossef Goldberg,Sales,Contoso,Jossef Goldberg,Jossef,Jossef@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Kevin Cook,OU=Sales,DC=Contoso,DC=com",user,Kevin Cook,Cook,London,Kevin,"CN=Kevin Cook,OU=Sales,DC=Contoso,DC=com",Kevin Cook,Sales,Contoso,Kevin Cook,Kevin,Kevin@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Marian Henc,OU=Sales,DC=Contoso,DC=com",user,Marian Henc,Henc,London,Marian,"CN=Marian Henc,OU=Sales,DC=Contoso,DC=com",Marian Henc,Sales,Contoso,Marian Henc,Marian,Marian@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Mark Steele,OU=Sales,DC=Contoso,DC=com",user,Mark Steele,Steele,London,Mark,"CN=Mark Steele,OU=Sales,DC=Contoso,DC=com",Mark Steele,Sales,Contoso,Mark Steele,Mark,Mark@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Mete Goktepe,OU=Sales,DC=Contoso,DC=com",user,Mete Goktepe,Goktepe,London,Mete,"CN=Mete Goktepe,OU=Sales,DC=Contoso,DC=com",Mete Goktepe,Sales,Contoso,Mete Goktepe,Mete,Mete@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Michiel Wories,OU=Sales,DC=Contoso,DC=com",user,Michiel Wories,Wories,London,Michiel,"CN=Michiel Wories,OU=Sales,DC=Contoso,DC=com",Michiel Wories,Sales,Contoso,Michiel Wories,Michiel,Michiel@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Minesh Lad,OU=Sales,DC=Contoso,DC=com",user,Minesh Lad,Lad,London,Minesh,"CN=Minesh Lad,OU=Sales,DC=Contoso,DC=com",Minesh Lad,Sales,Contoso,Minesh Lad,Minesh,Minesh@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
"CN=Nelson Siu,OU=Sales,DC=Contoso,DC=com",user,Nelson Siu,Siu,London,Nelson,"CN=Nelson Siu,OU=Sales,DC=Contoso,DC=com",Nelson Siu,Sales,Contoso,Nelson Siu,Nelson,Nelson@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",C0nt0$02021*
