DN,objectClass,cn,sn,l,givenName,distinguishedName,instanceType,whenCreated,whenChanged,displayName,uSNCreated,memberOf,uSNChanged,department,company,name,objectGUID,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,objectSid,accountExpires,logonCount,sAMAccountName,sAMAccountType,userPrincipalName,objectCategory,dSCorePropagationData
"CN=Ashvini Sharma,OU=Development,DC=Contoso,DC=com",user,Ashvini Sharma,Sharma,Seattle,Ashvini,"CN=Ashvini Sharma,OU=Development,DC=Contoso,DC=com",4,20200424224218.0Z,20200424224218.0Z,Ashvini Sharma,16869,"CN=Development,OU=Development,DC=Contoso,DC=com",16873,Development,Contoso,Ashvini Sharma,X'b1708946a9046e498b79a783d4aa61c3',66048,0,0,0,0,0,0,132322417385662801,513,X'010500000000000515000000fb8b0447cdcc26afe62587719c040000',9223372036854775807,0,Ashvini,805306368,Ashvini@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Bishara Kharoufeh,OU=Development,DC=Contoso,DC=com",user,Bishara Kharoufeh,Kharoufeh,Seattle,Bishara,"CN=Bishara Kharoufeh,OU=Development,DC=Contoso,DC=com",4,20200424224218.0Z,20200424224218.0Z,Bishara Kharoufeh,16887,"CN=Development,OU=Development,DC=Contoso,DC=com",16891,Development,Contoso,Bishara Kharoufeh,X'0c5240b3cd9ec84db54a2062b963eefb',66048,0,0,0,0,0,0,132322417386912784,513,X'010500000000000515000000fb8b0447cdcc26afe62587719f040000',9223372036854775807,0,Bishara,805306368,Bishara@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Brian Burke,OU=Development,DC=Contoso,DC=com",user,Brian Burke,Burke,London,Brian,"CN=Brian Burke,OU=Development,DC=Contoso,DC=com",4,20200424224218.0Z,20200424224218.0Z,Brian Burke,16905,"CN=Development,OU=Development,DC=Contoso,DC=com",16909,Development,Contoso,Brian Burke,X'afa3011351855447a13a205689451f96',66048,0,0,0,0,0,0,132322417387850269,513,X'010500000000000515000000fb8b0447cdcc26afe6258771a2040000',9223372036854775807,0,Brian,805306368,Brian@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Claus Juhl,OU=Development,DC=Contoso,DC=com",user,Claus Juhl,Juhl,London,Claus,"CN=Claus Juhl,OU=Development,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Claus Juhl,16959,"CN=Development,OU=Development,DC=Contoso,DC=com",16963,Development,Contoso,Claus Juhl,X'cacdb8a4a46a374cb025187612b43d64',66048,0,0,0,0,0,0,132322417391131542,513,X'010500000000000515000000fb8b0447cdcc26afe6258771ab040000',9223372036854775807,0,Claus,805306368,Claus@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Cristian Petculescu,OU=Development,DC=Contoso,DC=com",user,Cristian Petculescu,Petculescu,London,Cristian,"CN=Cristian Petculescu,OU=Development,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Cristian Petculescu,16983,"CN=Development,OU=Development,DC=Contoso,DC=com",16987,Development,Contoso,Cristian Petculescu,X'f48869218704ed47b9e82b0e4c3d4931',66048,0,0,0,0,0,0,132322417392381497,513,X'010500000000000515000000fb8b0447cdcc26afe6258771af040000',9223372036854775807,0,Cristian,805306368,Cristian@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Darcy Jayne,OU=Development,DC=Contoso,DC=com",user,Darcy Jayne,Jayne,London,Darcy,"CN=Darcy Jayne,OU=Development,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Darcy Jayne,17001,"CN=Development,OU=Development,DC=Contoso,DC=com",17005,Development,Contoso,Darcy Jayne,X'c5565f20792ab645ab38e20bedf41bac',66048,0,0,0,0,0,0,132322417393319006,513,X'010500000000000515000000fb8b0447cdcc26afe6258771b2040000',9223372036854775807,0,Darcy,805306368,Darcy@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=David Ahs,OU=Development,DC=Contoso,DC=com",user,David Ahs,Ahs,London,David,"CN=David Ahs,OU=Development,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,David Ahs,17019,"CN=Development,OU=Development,DC=Contoso,DC=com",17023,Development,Contoso,David Ahs,X'685fa0362ebd104db43ae712d1949e5d',66048,0,0,0,0,0,0,132322417394100245,513,X'010500000000000515000000fb8b0447cdcc26afe6258771b5040000',9223372036854775807,0,David,805306368,David@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Dean McCrae,OU=Development,DC=Contoso,DC=com",user,Dean McCrae,McCrae,London,Dean,"CN=Dean McCrae,OU=Development,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Dean McCrae,17031,"CN=Development,OU=Development,DC=Contoso,DC=com",17035,Development,Contoso,Dean McCrae,X'8fc7e6d6afbb214590b5ce75ee65de16',66048,0,0,0,0,0,0,132322417394725244,513,X'010500000000000515000000fb8b0447cdcc26afe6258771b7040000',9223372036854775807,0,Dean,805306368,Dean@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Dimple Arya,OU=Development,DC=Contoso,DC=com",user,Dimple Arya,Arya,London,Dimple,"CN=Dimple Arya,OU=Development,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Dimple Arya,17049,"CN=Development,OU=Development,DC=Contoso,DC=com",17053,Development,Contoso,Dimple Arya,X'6050d9c95b92674ca2506458de87e938',66048,0,0,0,0,0,0,132322417395506498,513,X'010500000000000515000000fb8b0447cdcc26afe6258771ba040000',9223372036854775807,0,Dimple,805306368,Dimple@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Eduardo Melo,OU=Development,DC=Contoso,DC=com",user,Eduardo Melo,Melo,London,Eduardo,"CN=Eduardo Melo,OU=Development,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Eduardo Melo,17079,"CN=Development,OU=Development,DC=Contoso,DC=com",17083,Development,Contoso,Eduardo Melo,X'8e5fda97089f2b4194fe6d149976efa9',66048,0,0,0,0,0,0,132322417397069023,513,X'010500000000000515000000fb8b0447cdcc26afe6258771bf040000',9223372036854775807,0,Eduardo,805306368,Eduardo@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Enrique Gil,OU=Development,DC=Contoso,DC=com",user,Enrique Gil,Gil,London,Enrique,"CN=Enrique Gil,OU=Development,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Enrique Gil,17097,"CN=Development,OU=Development,DC=Contoso,DC=com",17101,Development,Contoso,Enrique Gil,X'8c1dda2b51aa4b46a9a35ae98cc7f1dc',66048,0,0,0,0,0,0,132322417398006634,513,X'010500000000000515000000fb8b0447cdcc26afe6258771c2040000',9223372036854775807,0,Enrique,805306368,Enrique@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Fabien Hernoux,OU=Development,DC=Contoso,DC=com",user,Fabien Hernoux,Hernoux,London,Fabien,"CN=Fabien Hernoux,OU=Development,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Fabien Hernoux,17115,"CN=Development,OU=Development,DC=Contoso,DC=com",17119,Development,Contoso,Fabien Hernoux,X'c7c360594eb5544eb0e3056605376a93',66048,0,0,0,0,0,0,132322417398787728,513,X'010500000000000515000000fb8b0447cdcc26afe6258771c5040000',9223372036854775807,0,Fabien,805306368,Fabien@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Giuseppe Russo,OU=Development,DC=Contoso,DC=com",user,Giuseppe Russo,Russo,London,Giuseppe,"CN=Giuseppe Russo,OU=Development,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Giuseppe Russo,17175,"CN=Development,OU=Development,DC=Contoso,DC=com",17179,Development,Contoso,Giuseppe Russo,X'ed363857f6d0fd4894db7fc3353a5ed7',66048,0,0,0,0,0,0,132322417401756469,513,X'010500000000000515000000fb8b0447cdcc26afe6258771cf040000',9223372036854775807,0,Giuseppe,805306368,Giuseppe@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Gregory Verny,OU=Development,DC=Contoso,DC=com",user,Gregory Verny,Verny,London,Gregory,"CN=Gregory Verny,OU=Development,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Gregory Verny,17193,"CN=Development,OU=Development,DC=Contoso,DC=com",17197,Development,Contoso,Gregory Verny,X'5af19aa0b9afa042abc9123a8da636e6',66048,0,0,0,0,0,0,132322417402693979,513,X'010500000000000515000000fb8b0447cdcc26afe6258771d2040000',9223372036854775807,0,Gregory,805306368,Gregory@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Guy Gilbert,OU=Development,DC=Contoso,DC=com",user,Guy Gilbert,Gilbert,London,Guy,"CN=Guy Gilbert,OU=Development,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Guy Gilbert,17211,"CN=Development,OU=Development,DC=Contoso,DC=com",17215,Development,Contoso,Guy Gilbert,X'5f41759caf83a3498560fa67ac44d809',66048,0,0,0,0,0,0,132322417403475208,513,X'010500000000000515000000fb8b0447cdcc26afe6258771d5040000',9223372036854775807,0,Guy,805306368,Guy@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Heidi Steen,OU=Development,DC=Contoso,DC=com",user,Heidi Steen,Steen,London,Heidi,"CN=Heidi Steen,OU=Development,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Heidi Steen,17241,"CN=Development,OU=Development,DC=Contoso,DC=com",17245,Development,Contoso,Heidi Steen,X'2516193c41ae4c4993f3f7890a5fa82b',66048,0,0,0,0,0,0,132322417404881460,513,X'010500000000000515000000fb8b0447cdcc26afe6258771da040000',9223372036854775807,0,Heidi,805306368,Heidi@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Iliana Simbaeva,OU=Development,DC=Contoso,DC=com",user,Iliana Simbaeva,Simbaeva,London,Iliana,"CN=Iliana Simbaeva,OU=Development,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Iliana Simbaeva,17271,"CN=Development,OU=Development,DC=Contoso,DC=com",17275,Development,Contoso,Iliana Simbaeva,X'0b9e12fb4531d144acd362995cac148f',66048,0,0,0,0,0,0,132322417406443976,513,X'010500000000000515000000fb8b0447cdcc26afe6258771df040000',9223372036854775807,0,Iliana,805306368,Iliana@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Jan Kotas,OU=Development,DC=Contoso,DC=com",user,Jan Kotas,Kotas,London,Jan,"CN=Jan Kotas,OU=Development,DC=Contoso,DC=com",4,20200424224220.0Z,20200424224220.0Z,Jan Kotas,17313,"CN=Development,OU=Development,DC=Contoso,DC=com",17317,Development,Contoso,Jan Kotas,X'eed8b0838afe22459f011807851f8ace',66048,0,0,0,0,0,0,132322417408475198,513,X'010500000000000515000000fb8b0447cdcc26afe6258771e6040000',9223372036854775807,0,Jan,805306368,Jan@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
