DN,objectClass,cn,sn,l,givenName,distinguishedName,instanceType,whenCreated,whenChanged,displayName,uSNCreated,memberOf,uSNChanged,department,company,name,objectGUID,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,objectSid,accountExpires,logonCount,sAMAccountName,sAMAccountType,userPrincipalName,objectCategory,dSCorePropagationData
"CN=Ben Miller,OU=Sales,DC=Contoso,DC=com",user,Ben Miller,Miller,Seattle,Ben,"CN=Ben Miller,OU=Sales,DC=Contoso,DC=com",4,20200424224218.0Z,20200424224218.0Z,Ben Miller,16881,"CN=Sales,OU=Sales,DC=Contoso,DC=com",16885,Sales,Contoso,Ben Miller,X'12ff42f9885d584980cec06e89bd6c6e',66048,0,0,0,0,0,0,132322417386444037,513,X'010500000000000515000000fb8b0447cdcc26afe62587719e040000',9223372036854775807,0,Ben,805306368,Ben@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Britta Simon,OU=Sales,DC=Contoso,DC=com",user,Britta Simon,Simon,London,Britta,"CN=Britta Simon,OU=Sales,DC=Contoso,DC=com",4,20200424224218.0Z,20200424224218.0Z,Britta Simon,16911,"CN=Sales,OU=Sales,DC=Contoso,DC=com",16915,Sales,Contoso,Britta Simon,X'9bdceb1cc41ca64287b67bb7671fc208',66048,0,0,0,0,0,0,132322417388162766,513,X'010500000000000515000000fb8b0447cdcc26afe6258771a3040000',9223372036854775807,0,Britta,805306368,Britta@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Cassie Hicks,OU=Sales,DC=Contoso,DC=com",user,Cassie Hicks,Hicks,London,Cassie,"CN=Cassie Hicks,OU=Sales,DC=Contoso,DC=com",4,20200424224218.0Z,20200424224218.0Z,Cassie Hicks,16935,"CN=Sales,OU=Sales,DC=Contoso,DC=com",16939,Sales,Contoso,Cassie Hicks,X'a57c82d61c84e64fa2accaad5be37c65',66048,0,0,0,0,0,0,132322417389569031,513,X'010500000000000515000000fb8b0447cdcc26afe6258771a7040000',9223372036854775807,0,Cassie,805306368,Cassie@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Cindy White,OU=Sales,DC=Contoso,DC=com",user,Cindy White,White,London,Cindy,"CN=Cindy White,OU=Sales,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Cindy White,16953,"CN=Sales,OU=Sales,DC=Contoso,DC=com",16957,Sales,Contoso,Cindy White,X'f6bc7ee8bf36bf4e88afa70e4c5596b7',66048,0,0,0,0,0,0,132322417390819025,513,X'010500000000000515000000fb8b0447cdcc26afe6258771aa040000',9223372036854775807,0,Cindy,805306368,Cindy@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Corinna Bolender,OU=Sales,DC=Contoso,DC=com",user,Corinna Bolender,Bolender,London,Corinna,"CN=Corinna Bolender,OU=Sales,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Corinna Bolender,16971,"CN=Sales,OU=Sales,DC=Contoso,DC=com",16975,Sales,Contoso,Corinna Bolender,X'129c551a6ce4fa41a154892ef6093b3e',66048,0,0,0,0,0,0,132322417391756497,513,X'010500000000000515000000fb8b0447cdcc26afe6258771ad040000',9223372036854775807,0,Corinna,805306368,Corinna@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Dag Rovik,OU=Sales,DC=Contoso,DC=com",user,Dag Rovik,Rovik,London,Dag,"CN=Dag Rovik,OU=Sales,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Dag Rovik,16989,"CN=Sales,OU=Sales,DC=Contoso,DC=com",16993,Sales,Contoso,Dag Rovik,X'243c5ddd50ac5f4cb0d88eac9cd9646e',66048,0,0,0,0,0,0,132322417392694016,513,X'010500000000000515000000fb8b0447cdcc26afe6258771b0040000',9223372036854775807,0,Dag,805306368,Dag@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Darya Popkova,OU=Sales,DC=Contoso,DC=com",user,Darya Popkova,Popkova,London,Darya,"CN=Darya Popkova,OU=Sales,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Darya Popkova,17013,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17017,Sales,Contoso,Darya Popkova,X'dc99e34ab33da343bdb817aa2a643deb',66048,0,0,0,0,0,0,132322417393787749,513,X'010500000000000515000000fb8b0447cdcc26afe6258771b4040000',9223372036854775807,0,Darya,805306368,Darya@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Deborah Baumfeld,OU=Sales,DC=Contoso,DC=com",user,Deborah Baumfeld,Baumfeld,London,Deborah,"CN=Deborah Baumfeld,OU=Sales,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Deborah Baumfeld,17037,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17041,Sales,Contoso,Deborah Baumfeld,X'9b0ebe79d34ab748ad23bc36b11b8b70',66048,0,0,0,0,0,0,132322417395037761,513,X'010500000000000515000000fb8b0447cdcc26afe6258771b8040000',9223372036854775807,0,Deborah,805306368,Deborah@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Ed Banti,OU=Sales,DC=Contoso,DC=com",user,Ed Banti,Banti,London,Ed,"CN=Ed Banti,OU=Sales,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Ed Banti,17067,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17071,Sales,Contoso,Ed Banti,X'9c3ef2cac50bdf4ebd8a6e2e3ebfc2bb',66048,0,0,0,0,0,0,132322417396443981,513,X'010500000000000515000000fb8b0447cdcc26afe6258771bd040000',9223372036854775807,0,Ed,805306368,Ed@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
"CN=Eran Harel,OU=Sales,DC=Contoso,DC=com",user,Eran Harel,Harel,London,Eran,"CN=Eran Harel,OU=Sales,DC=Contoso,DC=com",4,20200424224219.0Z,20200424224219.0Z,Eran Harel,17103,"CN=Sales,OU=Sales,DC=Contoso,DC=com",17107,Sales,Contoso,Eran Harel,X'7b97bfebce0d5149bbeb2a2cca9555bf',66048,0,0,0,0,0,0,132322417398162731,513,X'010500000000000515000000fb8b0447cdcc26afe6258771c3040000',9223372036854775807,0,Eran,805306368,Eran@contoso.com,"CN=Person,CN=Schema,CN=Configuration,DC=Contoso,DC=com",16010101000000.0Z
